dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.586337,24.402319,0.000650,0.064993,3.249645,162.482265,6.282969
0.020000,0.585421,24.402319,0.001566,0.045796,-0.959855,-210.475001,6.283032
0.020000,0.583589,24.402319,0.003397,0.091572,2.288785,162.431992,6.283158
0.020000,0.587538,24.402320,0.007346,0.197428,5.292833,150.202397,0.000163
0.020000,0.594277,24.402322,0.014085,0.336956,6.976392,84.177965,0.000415
0.020000,0.602704,24.402326,0.022512,0.421340,4.219196,-137.859824,0.000730
0.020000,0.612820,24.402336,0.032628,0.505821,4.224045,0.242472,0.001108
0.020000,0.624628,24.402351,0.044437,0.590418,4.229843,0.289906,0.001549
0.020000,0.638131,24.402376,0.057940,0.675150,4.236610,0.338348,0.002052
0.020000,0.653332,24.402411,0.073140,0.760039,4.244442,0.391564,0.002617
0.020000,0.670234,24.402461,0.090042,0.845101,4.253128,0.434323,0.003245
0.020000,0.688841,24.402528,0.108650,0.930361,4.262963,0.491746,0.003934
0.020000,0.709158,24.402615,0.128966,1.015835,4.273727,0.538187,0.004684
0.020000,0.731188,24.402727,0.150997,1.101544,4.285430,0.585143,0.005495
0.020000,0.754938,24.402868,0.174747,1.187509,4.298286,0.642832,0.006367
0.020000,0.780413,24.403042,0.200222,1.273751,4.312057,0.688539,0.007300
0.020000,0.807617,24.403254,0.227428,1.360289,4.326915,0.742901,0.008292
0.020000,0.836559,24.403510,0.256371,1.447146,4.342858,0.797134,0.009344
0.020000,0.867245,24.403813,0.287058,1.534341,4.359757,0.844964,0.010455
0.020000,0.899681,24.404171,0.319496,1.621897,4.377766,0.900460,0.011624
0.020000,0.933875,24.404590,0.353692,1.709834,4.396882,0.955780,0.012852
0.020000,0.969835,24.405075,0.389656,1.798174,4.417012,1.006496,0.014137
0.020000,1.007570,24.405634,0.427395,1.886941,4.438325,1.065635,0.015478
0.020000,1.047087,24.406274,0.466918,1.976155,4.460690,1.118291,0.016876
0.020000,1.088398,24.407001,0.508235,2.065837,4.484140,1.172483,0.018330
0.020000,1.131510,24.407824,0.551355,2.156013,4.508783,1.232151,0.019838
0.020000,1.176435,24.408750,0.596289,2.246703,4.534517,1.286704,0.021401
0.020000,1.223182,24.409789,0.643048,2.337932,4.561412,1.344760,0.023017
0.020000,1.271762,24.410948,0.691642,2.429723,4.589545,1.406637,0.024686
0.020000,1.322188,24.412236,0.742084,2.522097,4.618714,1.458427,0.026407
0.020000,1.374470,24.413663,0.794386,2.615080,4.649144,1.521519,0.028178
0.020000,1.428621,24.415239,0.848559,2.708695,4.680770,1.581293,0.030000
0.020000,1.484654,24.416973,0.904619,2.802967,4.713568,1.639925,0.031871
0.020000,1.542581,24.418876,0.962577,2.897919,4.747615,1.702355,0.033791
0.020000,1.602416,24.420957,1.022449,2.993576,4.782861,1.762304,0.035758
0.020000,1.664174,24.423229,1.084248,3.089962,4.819313,1.822563,0.037771
0.020000,1.727868,24.425702,1.147990,3.187103,4.857042,1.886486,0.039829
0.020000,1.793513,24.428387,1.213690,3.285023,4.895985,1.947136,0.041932
0.020000,1.861126,24.431297,1.281365,3.383747,4.936192,2.010343,0.044078
0.020000,1.930720,24.434443,1.351031,3.483301,4.977691,2.074960,0.046266
0.020000,2.002314,24.437837,1.422706,3.583708,5.020384,2.134650,0.048494
0.020000,2.075923,24.441494,1.496405,3.684996,5.064378,2.199713,0.050762
0.020000,2.151565,24.445424,1.572149,3.787189,5.109662,2.264184,0.053069
0.020000,2.229257,24.449643,1.649956,3.890312,5.156170,2.325386,0.055412
0.020000,2.309017,24.454162,1.729843,3.994393,5.204007,2.391849,0.057792
0.020000,2.390863,24.458997,1.811832,4.099454,5.253086,2.453957,0.060205
0.020000,2.474815,24.464161,1.895943,4.205523,5.303416,2.516513,0.062652
0.020000,2.560891,24.469668,1.982195,4.312624,5.355077,2.583040,0.065130
0.020000,2.649112,24.475533,2.070611,4.420783,5.407953,2.643789,0.067639
0.020000,2.739498,24.481771,2.161212,4.530026,5.462132,2.708978,0.070176
0.020000,2.832069,24.488398,2.254019,4.640377,5.517542,2.770504,0.072740
0.020000,2.926845,24.495428,2.349056,4.751861,5.574237,2.834730,0.075329
0.020000,3.023850,24.502877,2.446346,4.864505,5.632156,2.895939,0.077943
0.020000,3.123104,24.510760,2.545913,4.978331,5.691332,2.958790,0.080578
0.020000,3.224630,24.519095,2.647780,5.093366,5.751720,3.019443,0.083235
0.020000,3.328450,24.527897,2.751973,5.209633,5.813345,3.081245,0.085910
0.020000,3.434588,24.537182,2.858516,5.327156,5.876173,3.141380,0.088602
0.020000,3.543066,24.546967,2.967435,5.445960,5.940199,3.201280,0.091310
0.020000,3.653910,24.557269,3.078757,5.566068,6.005408,3.260493,0.094032
0.020000,3.767143,24.568105,3.192507,5.687504,6.071787,3.318936,0.096765
