dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.583200,9.902319,0.000650,0.064993,3.249645,162.482265,6.282969
0.020000,0.583200,9.902319,0.003250,0.194979,6.499291,162.482265,6.283032
0.020000,0.583200,9.902319,0.008449,0.324965,6.499291,-0.000000,6.283158
0.020000,0.589895,9.902320,0.016248,0.454950,6.499291,0.000000,0.000163
0.020000,0.600294,9.902323,0.026647,0.584936,6.499291,-0.000000,0.000415
0.020000,0.613292,9.902330,0.039646,0.714922,6.499291,0.000000,0.000730
0.020000,0.628891,9.902345,0.055244,0.844908,6.499291,-0.000000,0.001108
0.020000,0.647089,9.902369,0.073442,0.974894,6.499291,0.000000,0.001549
0.020000,0.667886,9.902406,0.094240,1.104879,6.499291,0.000000,0.002052
0.020000,0.691284,9.902461,0.117637,1.234865,6.499291,0.000000,0.002617
0.020000,0.717281,9.902537,0.143634,1.364851,6.499291,0.000000,0.003245
0.020000,0.745878,9.902640,0.172231,1.494837,6.499291,0.000000,0.003934
0.020000,0.777074,9.902774,0.203428,1.624823,6.499291,-0.000000,0.004684
0.020000,0.810870,9.902946,0.237224,1.754808,6.499291,0.000000,0.005495
0.020000,0.847265,9.903162,0.273620,1.884794,6.499291,-0.000000,0.006367
0.020000,0.886260,9.903429,0.312616,2.014780,6.499291,0.000000,0.007300
0.020000,0.927854,9.903753,0.354211,2.144766,6.499291,-0.000000,0.008292
0.020000,0.972048,9.904143,0.398407,2.274752,6.499291,-0.000000,0.009344
0.020000,1.018840,9.904606,0.445201,2.404738,6.499291,0.000000,0.010455
0.020000,1.068232,9.905151,0.494596,2.534723,6.499291,0.000000,0.011624
0.020000,1.120222,9.905787,0.546590,2.664709,6.499291,0.000000,0.012852
0.020000,1.174811,9.906524,0.601184,2.794695,6.499291,0.000000,0.014137
0.020000,1.231999,9.907371,0.658378,2.924681,6.499291,0.000000,0.015478
0.020000,1.291784,9.908338,0.718172,3.054667,6.499291,-0.000000,0.016876
0.020000,1.354168,9.909437,0.780565,3.184652,6.499291,0.000000,0.018330
0.020000,1.419149,9.910677,0.845558,3.314638,6.499291,0.000000,0.019838
0.020000,1.486727,9.912071,0.913150,3.444624,6.499291,0.000000,0.021401
0.020000,1.556902,9.913629,0.983343,3.574610,6.499291,0.000000,0.023017
0.020000,1.629674,9.915366,1.056135,3.704596,6.499291,-0.000000,0.024686
0.020000,1.705041,9.917291,1.131526,3.834581,6.499291,0.000000,0.026407
0.020000,1.783003,9.919420,1.209518,3.964567,6.499291,-0.000000,0.028178
0.020000,1.863560,9.921764,1.290109,4.094553,6.499291,0.000000,0.030000
0.020000,1.946711,9.924337,1.373300,4.224539,6.499291,-0.000000,0.031871
0.020000,2.032456,9.927153,1.459091,4.354525,6.499291,0.000000,0.033791
0.020000,2.120793,9.930226,1.547481,4.484511,6.499291,0.000000,0.035758
0.020000,2.211721,9.933571,1.638471,4.614496,6.499291,0.000000,0.037771
0.020000,2.305241,9.937201,1.732061,4.744482,6.499291,-0.000000,0.039829
0.020000,2.401350,9.941133,1.828250,4.874468,6.499291,0.000000,0.041932
0.020000,2.500048,9.945380,1.927040,5.004454,6.499291,-0.000000,0.044078
0.020000,2.601333,9.949958,2.028429,5.134440,6.499291,0.000000,0.046266
0.020000,2.705205,9.954884,2.132417,5.264425,6.499291,0.000000,0.048494
0.020000,2.811662,9.960171,2.239006,5.394411,6.499291,-0.000000,0.050762
0.020000,2.920703,9.965838,2.348194,5.524397,6.499291,0.000000,0.053069
0.020000,3.032326,9.971898,2.459981,5.654383,6.499291,-0.000000,0.055412
0.020000,3.146531,9.978370,2.574369,5.784369,6.499291,0.000000,0.057792
0.020000,3.263314,9.985268,2.691356,5.914354,6.499291,0.000000,0.060205
0.020000,3.382676,9.992610,2.810943,6.044340,6.499291,-0.000000,0.062652
0.020000,3.504613,10.000411,2.933130,6.174326,6.499291,0.000000,0.065130
0.020000,3.629124,10.008689,3.057916,6.304312,6.499291,0.000000,0.067639
0.020000,3.756208,10.017460,3.185302,6.434298,6.499291,0.000000,0.070176
0.020000,3.885862,10.026741,3.315288,6.564284,6.499291,-0.000000,0.072740
0.020000,4.018084,10.036548,3.447874,6.694269,6.499291,0.000000,0.075329
0.020000,4.152873,10.046898,3.583059,6.824255,6.499291,-0.000000,0.077943
0.020000,4.290225,10.057808,3.720844,6.954241,6.499291,0.000000,0.080578
0.020000,4.430139,10.069294,3.861229,7.084227,6.499291,-0.000000,0.083235
0.020000,4.572612,10.081373,4.004213,7.214213,6.499291,0.000000,0.085910
0.020000,4.717643,10.094060,4.149797,7.344198,6.499291,-0.000000,0.088602
0.020000,4.865227,10.107372,4.297981,7.474184,6.499291,0.000000,0.091310
0.020000,5.015364,10.121326,4.448764,7.604170,6.499291,-0.000000,0.094032
