dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.580064,-4.597680,0.000650,0.064993,3.249645,162.482265,6.282969
0.020000,0.580980,-4.597680,0.001566,0.045796,-0.959855,-210.475001,6.283032
0.020000,0.582811,-4.597681,0.003397,0.091572,2.288785,162.431992,6.283158
0.020000,0.592252,-4.597680,0.012838,0.472045,19.023661,836.743779,0.000163
0.020000,0.606311,-4.597676,0.026897,0.702930,11.544264,-373.969838,0.000415
0.020000,0.623881,-4.597666,0.044467,0.878518,8.779387,-138.243824,0.000730
0.020000,0.644961,-4.597646,0.065547,1.054009,8.774578,-0.240480,0.001108
0.020000,0.669549,-4.597614,0.090135,1.229384,8.768738,-0.291989,0.001549
0.020000,0.697641,-4.597563,0.118227,1.404622,8.761897,-0.342037,0.002052
0.020000,0.729235,-4.597489,0.149822,1.579707,8.754239,-0.382910,0.002617
0.020000,0.764328,-4.597387,0.184914,1.754613,8.745312,-0.446371,0.003245
0.020000,0.802914,-4.597248,0.223500,1.929327,8.735706,-0.480301,0.003934
0.020000,0.844990,-4.597067,0.265577,2.103826,8.724944,-0.538088,0.004684
0.020000,0.890551,-4.596835,0.311139,2.278087,8.713026,-0.595878,0.005495
0.020000,0.939592,-4.596544,0.360181,2.452094,8.700373,-0.632661,0.006367
0.020000,0.992107,-4.596185,0.412697,2.625823,8.686463,-0.695509,0.007300
0.020000,1.048091,-4.595749,0.468682,2.799256,8.671627,-0.741806,0.008292
0.020000,1.107536,-4.595224,0.528130,2.972372,8.655830,-0.789820,0.009344
0.020000,1.170436,-4.594602,0.591032,3.145148,8.638781,-0.852455,0.010455
0.020000,1.236783,-4.593869,0.657384,3.317563,8.620765,-0.900838,0.011624
0.020000,1.306570,-4.593015,0.727176,3.489598,8.601741,-0.951189,0.012852
0.020000,1.379788,-4.592027,0.800400,3.661228,8.581490,-1.012535,0.014137
0.020000,1.456428,-4.590892,0.877049,3.832434,8.560323,-1.058336,0.015478
0.020000,1.536481,-4.589597,0.957113,4.003193,8.537943,-1.119013,0.016876
0.020000,1.619938,-4.588127,1.040582,4.173481,8.514379,-1.178184,0.018330
0.020000,1.706788,-4.586470,1.127448,4.343277,8.489820,-1.227955,0.019838
0.020000,1.797020,-4.584609,1.217699,4.512558,8.464025,-1.289743,0.021401
0.020000,1.890623,-4.582530,1.311325,4.681300,8.437103,-1.346105,0.023017
0.020000,1.987585,-4.580217,1.408315,4.849483,8.409173,-1.396503,0.024686
0.020000,2.087894,-4.577653,1.508656,5.017079,8.379800,-1.468661,0.026407
0.020000,2.191536,-4.574824,1.612338,5.184067,8.349404,-1.519792,0.028178
0.020000,2.298499,-4.571712,1.719346,5.350424,8.317822,-1.579119,0.030000
0.020000,2.408769,-4.568299,1.829669,5.516123,8.284979,-1.642161,0.031871
0.020000,2.522331,-4.564569,1.943292,5.681143,8.250996,-1.699118,0.033791
0.020000,2.639169,-4.560505,2.060201,5.845458,8.215750,-1.762311,0.035758
0.020000,2.759269,-4.556087,2.180382,6.009043,8.179228,-1.826112,0.037771
0.020000,2.882614,-4.551299,2.303819,6.171874,8.141549,-1.883943,0.039829
0.020000,3.009186,-4.546121,2.430498,6.333925,8.102564,-1.949226,0.041932
0.020000,3.138970,-4.540537,2.560401,6.495172,8.062354,-2.010507,0.044078
0.020000,3.271946,-4.534526,2.693513,6.655591,8.020955,-2.069983,0.046266
0.020000,3.408096,-4.528070,2.829816,6.815155,7.978162,-2.139624,0.048494
0.020000,3.547401,-4.521151,2.969293,6.973838,7.934171,-2.199580,0.050762
0.020000,3.689841,-4.513749,3.111925,7.131617,7.888946,-2.261214,0.053069
0.020000,3.835396,-4.505846,3.257694,7.288464,7.842359,-2.329357,0.055412
0.020000,3.984044,-4.497423,3.406581,7.444356,7.794603,-2.387820,0.057792
0.020000,4.135765,-4.488461,3.558567,7.599266,7.745512,-2.454542,0.060205
0.020000,4.290536,-4.478942,3.713630,7.753169,7.695106,-2.520289,0.062652
0.020000,4.448334,-4.468846,3.871751,7.906039,7.643536,-2.578496,0.065130
0.020000,4.609136,-4.458155,4.032908,8.057851,7.590596,-2.646985,0.067639
0.020000,4.772918,-4.446851,4.197080,8.208580,7.536461,-2.706789,0.070176
0.020000,4.939656,-4.434916,4.364244,8.358201,7.481009,-2.772600,0.072740
0.020000,5.109323,-4.422331,4.534377,8.506688,7.424355,-2.832686,0.075329
0.020000,5.281896,-4.409080,4.707458,8.654016,7.366410,-2.897232,0.077943
0.020000,5.457346,-4.395144,4.883461,8.800161,7.307256,-2.957702,0.080578
0.020000,5.635649,-4.380507,5.062363,8.945098,7.246840,-3.020805,0.083235
0.020000,5.816775,-4.365152,5.244139,9.088802,7.185231,-3.080458,0.085910
0.020000,6.000697,-4.349062,5.428764,9.231250,7.122401,-3.141500,0.088602
0.020000,6.187388,-4.332222,5.616212,9.372418,7.058376,-3.201264,0.091310
0.020000,6.376817,-4.314617,5.806458,9.512281,6.993168,-3.260413,0.094032
0.020000,6.568956,-4.296231,5.999474,9.650817,6.926788,-3.318967,0.096765
0.020000,6.763774,-4.277050,6.195234,9.788002,6.859254,-3.376721,0.099508
0.020000,6.961241,-4.257060,6.393711,9.923814,6.790583,-3.433527,0.102260
0.020000,7.161326,-4.236248,6.594875,10.058230,6.720788,-3.489777,0.105017
0.020000,7.363998,-4.214602,6.798700,10.191227,6.649885,-3.545155,0.107779
0.020000,7.569225,-4.192110,7.005155,10.322785,6.577909,-3.598787,0.110542
0.020000,7.776974,-4.168759,7.214213,10.452882,6.504829,-3.653977,0.113306
0.020000,7.987214,-4.144540,7.425843,10.581497,6.430741,-3.704398,0.116068
0.020000,8.199911,-4.119444,7.640015,10.708609,6.355602,-3.756986,0.118826
0.020000,8.415031,-4.093460,7.856699,10.834197,6.279425,-3.808837,0.121578
0.020000,8.632541,-4.066581,8.075864,10.958243,6.202305,-3.856009,0.124322
0.020000,8.852407,-4.038799,8.297478,11.080727,6.124177,-3.906378,0.127055
0.020000,9.074595,-4.010108,8.521511,11.201629,6.045115,-3.953113,0.129776
0.020000,9.299070,-3.980502,8.747930,11.320930,5.965054,-4.003067,0.132482
0.020000,9.525797,-3.949976,8.976702,11.438614,5.884168,-4.044277,0.135172
