dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.888413,12.452304,0.000647,0.064684,3.234181,161.709073,0.002238
0.020000,8.889228,12.452305,0.001462,0.040767,-1.195828,-221.500487,0.001564
0.020000,8.890855,12.452307,0.003089,0.081327,2.028018,161.192325,0.000220
0.020000,8.900195,12.452299,0.012429,0.467014,19.284319,862.815053,6.281399
0.020000,8.913761,12.452256,0.025995,0.678276,10.563096,-436.061142,6.278741
0.020000,8.930680,12.452153,0.042914,0.845994,8.385889,-108.860383,6.275449
0.020000,8.950932,12.451957,0.063167,1.012643,8.332479,-2.670498,6.271541
0.020000,8.974486,12.451629,0.086723,1.177785,8.257080,-3.769916,6.267042
0.020000,9.001309,12.451128,0.113551,1.341413,8.181405,-3.783795,6.261976
0.020000,9.031364,12.450406,0.143615,1.503170,8.087851,-4.677656,6.256374
0.020000,9.064611,12.449413,0.176877,1.663098,7.996430,-4.571060,6.250268
0.020000,9.101004,12.448094,0.213293,1.820847,7.887417,-5.450676,6.243693
0.020000,9.140495,12.446395,0.252821,1.976360,7.775645,-5.588566,6.236685
0.020000,9.183032,12.444257,0.295411,2.129532,7.658621,-5.851205,6.229284
0.020000,9.228560,12.441623,0.341016,2.280237,7.535251,-6.168532,6.221531
0.020000,9.277022,12.438434,0.389583,2.428325,7.404395,-6.542774,6.213468
0.020000,9.328358,12.434634,0.441059,2.573835,7.275507,-6.444411,6.205137
0.020000,9.382511,12.430164,0.495397,2.716866,7.151550,-6.197843,6.196582
0.020000,9.439416,12.424972,0.552538,2.857060,7.009689,-7.093069,6.187846
0.020000,9.499013,12.419004,0.612433,2.994751,6.884532,-6.257836,6.178974
0.020000,9.561240,12.412212,0.675029,3.129804,6.752693,-6.591930,6.170008
0.020000,9.626032,12.404550,0.740272,3.262174,6.618473,-6.711045,6.160991
0.020000,9.693331,12.395975,0.808116,3.392160,6.499328,-5.957209,6.151965
0.020000,9.763076,12.386448,0.878508,3.519628,6.373353,-6.298746,6.142970
0.020000,9.835208,12.375937,0.951402,3.644703,6.253785,-5.978420,6.134046
0.020000,9.909672,12.364410,1.026753,3.767547,6.142169,-5.580823,6.125231
0.020000,9.986410,12.351843,1.104513,3.888007,6.022999,-5.958497,6.116561
0.020000,10.065372,12.338215,1.184643,4.006488,5.924076,-4.946138,6.108072
0.020000,10.146508,12.323510,1.267101,4.122881,5.819642,-5.221697,6.099798
0.020000,10.229770,12.307718,1.351847,4.237336,5.722740,-4.845108,6.091770
0.020000,10.315113,12.290832,1.438844,4.349842,5.625318,-4.871090,6.084021
0.020000,10.402495,12.272853,1.528057,4.460637,5.539763,-4.277757,6.076579
0.020000,10.491875,12.253783,1.619449,4.569597,5.447969,-4.589670,6.069474
0.020000,10.583217,12.233633,1.712987,4.676884,5.364383,-4.179337,6.062734
0.020000,10.676484,12.212417,1.808637,4.782504,5.280960,-4.171130,6.056386
0.020000,10.771646,12.190154,1.906368,4.886558,5.202701,-3.912939,6.050457
0.020000,10.868669,12.166872,2.006145,4.988870,5.115635,-4.353302,6.044975
0.020000,10.967525,12.142600,2.107937,5.089607,5.036829,-3.940321,6.039966
0.020000,11.068186,12.117376,2.211710,5.188645,4.951881,-4.247400,6.035459
0.020000,11.170624,12.091245,2.317429,5.285925,4.864014,-4.393344,6.031482
0.020000,11.274812,12.064257,2.425056,5.381365,4.771996,-4.600899,6.028066
0.020000,11.380725,12.036469,2.534553,5.474872,4.675377,-4.830942,6.025243
0.020000,11.488335,12.007946,2.645879,5.566282,4.570488,-5.244439,6.023047
0.020000,11.597613,11.978763,2.758987,5.655407,4.456264,-5.711242,6.021516
0.020000,11.708530,11.949002,2.873828,5.742018,4.330535,-6.286409,6.020692
0.020000,11.821053,11.918756,2.990344,5.825841,4.191148,-6.969392,6.020621
0.020000,11.935144,11.888128,3.108475,5.906544,4.035130,-7.800855,6.021354
0.020000,12.050762,11.857234,3.228150,5.983718,3.858714,-8.820826,6.022950
0.020000,12.167859,11.826203,3.349288,6.056914,3.659819,-9.944726,6.025474
0.020000,12.286375,11.795178,3.471798,6.125507,3.429637,-11.509098,6.029003
0.020000,12.406245,11.764320,3.595576,6.188874,3.168371,-13.063322,6.033623
0.020000,12.527384,11.733806,3.720499,6.246191,2.865824,-15.127360,6.039433
0.020000,12.649695,11.703835,3.846428,6.296428,2.511881,-17.697142,6.046551
0.020000,12.773055,11.674629,3.973199,6.338549,2.106010,-20.293527,6.055112
0.020000,12.897317,11.646433,4.100620,6.371042,1.624683,-24.066392,6.065273
0.020000,13.022299,11.619520,4.228466,6.392321,1.063914,-28.038416,6.077221
0.020000,13.147775,11.594194,4.356472,6.400303,0.399138,-33.238824,6.091176
0.020000,13.273466,11.570789,4.484324,6.392591,-0.385640,-39.238863,6.107394
0.020000,13.399031,11.549670,4.611652,6.366417,-1.308685,-46.152280,6.126185
0.020000,13.524041,11.531234,4.738015,6.318125,-2.414570,-55.294246,6.147910
0.020000,13.647974,11.515906,4.862892,6.243860,-3.713262,-64.934597,6.173002
