dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.891121,11.242307,0.000647,0.064684,3.234181,161.709073,0.002238
0.020000,8.891121,11.242307,0.003234,0.194051,6.468363,161.709073,0.001564
0.020000,8.891121,11.242307,0.008409,0.323418,6.468363,-0.000000,0.000220
0.020000,8.898033,11.242300,0.016171,0.452785,6.468363,0.000000,6.281399
0.020000,8.908383,11.242268,0.026520,0.582153,6.468363,0.000000,6.278741
0.020000,8.921319,11.242189,0.039457,0.711520,6.468363,-0.000000,6.275449
0.020000,8.936843,11.242039,0.054981,0.840887,6.468363,0.000000,6.271541
0.020000,8.954952,11.241787,0.073093,0.970254,6.468363,0.000000,6.267042
0.020000,8.975648,11.241400,0.093791,1.099622,6.468363,0.000000,6.261976
0.020000,8.998926,11.240841,0.117077,1.228989,6.468363,0.000000,6.256374
0.020000,9.024788,11.240068,0.142951,1.358356,6.468363,-0.000000,6.250268
0.020000,9.053230,11.239038,0.171412,1.487723,6.468363,0.000000,6.243693
0.020000,9.084250,11.237703,0.202460,1.617091,6.468363,-0.000000,6.236685
0.020000,9.117843,11.236014,0.236095,1.746458,6.468363,0.000000,6.229284
0.020000,9.154006,11.233922,0.272318,1.875825,6.468363,0.000000,6.221531
0.020000,9.192732,11.231374,0.311128,2.005193,6.468363,0.000000,6.213468
0.020000,9.234016,11.228317,0.352526,2.134560,6.468363,-0.000000,6.205137
0.020000,9.277852,11.224699,0.396511,2.263927,6.468363,0.000000,6.196582
0.020000,9.324231,11.220467,0.443083,2.393294,6.468363,0.000000,6.187846
0.020000,9.373146,11.215569,0.492242,2.522662,6.468363,-0.000000,6.178974
0.020000,9.424588,11.209954,0.543989,2.652029,6.468363,0.000000,6.170008
0.020000,9.478545,11.203572,0.598324,2.781396,6.468363,0.000000,6.160991
0.020000,9.535010,11.196377,0.655245,2.910763,6.468363,0.000000,6.151965
0.020000,9.593971,11.188323,0.714754,3.040131,6.468363,0.000000,6.142970
0.020000,9.655418,11.179369,0.776850,3.169498,6.468363,-0.000000,6.134046
0.020000,9.719341,11.169473,0.841534,3.298865,6.468363,0.000000,6.125231
0.020000,9.785726,11.158601,0.908805,3.428232,6.468363,0.000000,6.116561
0.020000,9.854567,11.146719,0.978663,3.557600,6.468363,0.000000,6.108072
0.020000,9.925851,11.133800,1.051109,3.686967,6.468363,0.000000,6.099798
0.020000,9.999570,11.119817,1.126142,3.816334,6.468363,0.000000,6.091770
0.020000,10.075714,11.104751,1.203762,3.945701,6.468363,-0.000000,6.084021
0.020000,10.154276,11.088586,1.283970,4.075069,6.468363,0.000000,6.076579
0.020000,10.235248,11.071310,1.366765,4.204436,6.468363,-0.000000,6.069474
0.020000,10.318626,11.052916,1.452147,4.333803,6.468363,0.000000,6.062734
0.020000,10.404403,11.033403,1.540117,4.463170,6.468363,0.000000,6.056386
0.020000,10.492580,11.012775,1.630674,4.592538,6.468363,-0.000000,6.050457
0.020000,10.583153,10.991040,1.723819,4.721905,6.468363,0.000000,6.044975
0.020000,10.676123,10.968213,1.819550,4.851272,6.468363,-0.000000,6.039966
0.020000,10.771494,10.944315,1.917870,4.980639,6.468363,0.000000,6.035459
0.020000,10.869269,10.919373,2.018776,5.110007,6.468363,0.000000,6.031482
0.020000,10.969456,10.893420,2.122270,5.239374,6.468363,0.000000,6.028066
0.020000,11.072064,10.866499,2.228351,5.368741,6.468363,-0.000000,6.025243
0.020000,11.177106,10.838657,2.337020,5.498108,6.468363,0.000000,6.023047
0.020000,11.284595,10.809952,2.448275,5.627476,6.468363,-0.000000,6.021516
0.020000,11.394549,10.780449,2.562119,5.756843,6.468363,0.000000,6.020692
