dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.311108,15.990084,0.000650,0.065030,3.251512,162.575619,5.641756
0.020000,10.311192,15.990021,0.000755,0.005241,-2.989441,-312.047664,5.641842
0.020000,10.313143,15.988565,0.003190,0.121743,5.825082,440.726128,5.642016
0.020000,10.319651,15.983709,0.011310,0.406015,14.213607,419.426270,5.642278
0.020000,10.328333,15.977235,0.022140,0.541482,6.773317,-372.014519,5.642629
0.020000,10.339191,15.969144,0.035681,0.677059,6.778875,0.277914,5.643071
0.020000,10.352231,15.959439,0.051937,0.812773,6.785674,0.339929,5.643607
0.020000,10.367458,15.948119,0.070910,0.948655,6.794114,0.422014,5.644239
0.020000,10.384877,15.935188,0.092604,1.084729,6.803693,0.478968,5.644970
0.020000,10.404497,15.920647,0.117025,1.221026,6.814847,0.557680,5.645804
0.020000,10.426325,15.904500,0.144176,1.357574,6.827399,0.627614,5.646746
0.020000,10.450371,15.886749,0.174064,1.494402,6.841440,0.702047,5.647799
0.020000,10.476645,15.867399,0.206695,1.631537,6.856743,0.765136,5.648970
0.020000,10.505158,15.846452,0.242075,1.769011,6.873691,0.847396,5.650263
0.020000,10.535924,15.823916,0.280212,1.906854,6.892126,0.921789,5.651684
0.020000,10.568957,15.799795,0.321114,2.045098,6.912240,1.005673,5.653241
0.020000,10.604271,15.774096,0.364790,2.183766,6.933364,1.056196,5.654940
0.020000,10.641883,15.746826,0.411248,2.322901,6.956748,1.169224,5.656790
0.020000,10.681812,15.717994,0.460498,2.462526,6.981293,1.227237,5.658797
0.020000,10.724077,15.687609,0.512552,2.602676,7.007490,1.309857,5.660971
0.020000,10.768699,15.655682,0.567419,2.743384,7.035386,1.394779,5.663321
0.020000,10.815702,15.622226,0.625113,2.884691,7.065356,1.498502,5.665857
0.020000,10.865109,15.587253,0.685646,3.026621,7.096475,1.555963,5.668589
0.020000,10.916948,15.550780,0.749030,3.169218,7.129870,1.669733,5.671528
0.020000,10.971247,15.512822,0.815280,3.312512,7.164689,1.740944,5.674686
0.020000,11.028036,15.473400,0.884411,3.456547,7.201775,1.854321,5.678075
0.020000,11.087348,15.432535,0.956438,3.601356,7.240416,1.932063,5.681708
0.020000,11.149218,15.390249,1.031378,3.746981,7.281251,2.041715,5.685598
0.020000,11.213682,15.346569,1.109247,3.893462,7.324067,2.140807,5.689759
0.020000,11.280782,15.301524,1.190064,4.040837,7.368767,2.235040,5.694207
0.020000,11.350558,15.255147,1.273847,4.189154,7.415851,2.354167,5.698957
0.020000,11.423055,15.207471,1.360616,4.338449,7.464712,2.443083,5.704024
0.020000,11.498322,15.158537,1.450391,4.488766,7.515866,2.557667,5.709426
0.020000,11.576408,15.108388,1.543194,4.640152,7.569317,2.672568,5.715181
0.020000,11.657367,15.057070,1.639047,4.792648,7.624799,2.774090,5.721307
0.020000,11.741254,15.004637,1.737973,4.946294,7.682279,2.874017,5.727822
0.020000,11.828128,14.951144,1.839996,5.101134,7.742021,2.987069,5.734747
0.020000,11.918052,14.896655,1.945140,5.257213,7.803950,3.096464,5.742102
0.020000,12.011090,14.841239,2.053431,5.414563,7.867485,3.176732,5.749909
0.020000,12.107310,14.784971,2.164896,5.573227,7.933191,3.285338,5.758188
0.020000,12.206782,14.727933,2.279560,5.733232,8.000258,3.353323,5.766962
0.020000,12.309579,14.670217,2.397453,5.894607,8.068764,3.425332,5.776253
0.020000,12.415778,14.611919,2.518600,6.057380,8.138646,3.494063,5.786086
0.020000,12.525454,14.553147,2.643031,6.221561,8.209025,3.518942,5.796482
0.020000,12.638689,14.494017,2.770774,6.387150,8.279488,3.523174,5.807466
0.020000,12.755561,14.434658,2.901857,6.554148,8.349902,3.520712,5.819061
0.020000,12.876153,14.375205,3.036308,6.722535,8.419331,3.471421,5.831289
0.020000,13.000545,14.315808,3.174153,6.892271,8.486796,3.373243,5.844173
0.020000,13.128146,14.256932,3.314683,7.026455,6.709200,-88.879771,5.857662
0.020000,13.257150,14.199540,3.455877,7.059718,1.663140,-252.302982,5.871568
0.020000,13.385674,14.144504,3.595689,6.990598,-3.455985,-255.956274,5.885678
0.020000,13.512801,14.092182,3.733162,6.873663,-5.846753,-119.538382,5.899870
0.020000,13.638278,14.042614,3.868075,6.745649,-6.400707,-27.697739,5.914097
0.020000,13.762018,13.995755,4.000390,6.615747,-6.495074,-4.718312,5.928327
0.020000,13.883934,13.951559,4.130070,6.483987,-6.587995,-4.646069,5.942528
0.020000,14.003940,13.909970,4.257078,6.350414,-6.678691,-4.534814,5.956671
0.020000,14.121951,13.870928,4.381380,6.215072,-6.767070,-4.418941,5.970727
0.020000,14.237882,13.834366,4.502940,6.078028,-6.852197,-4.256365,5.984667
0.020000,14.351654,13.800212,4.621727,5.939344,-6.934216,-4.100951,5.998465
0.020000,14.463185,13.768392,4.737709,5.799105,-7.011967,-3.887533,6.012094
0.020000,14.572402,13.738825,4.850857,5.657381,-7.086162,-3.709751,6.025531
0.020000,14.679229,13.711427,4.961142,5.514262,-7.155964,-3.490113,6.038752
0.020000,14.783600,13.686113,5.068539,5.369853,-7.220441,-3.223826,6.051736
0.020000,14.885449,13.662792,5.173024,5.224236,-7.280840,-3.019932,6.064462
0.020000,14.984715,13.641374,5.274574,5.077498,-7.336936,-2.804805,6.076913
0.020000,15.081341,13.621767,5.373169,4.929753,-7.387240,-2.515200,6.089071
0.020000,15.175274,13.603878,5.468790,4.781075,-7.433881,-2.332059,6.100922
0.020000,15.266466,13.587613,5.561422,4.631572,-7.475175,-2.064728,6.112451
0.020000,15.354873,13.572879,5.651048,4.481323,-7.512459,-1.864188,6.123647
0.020000,15.440455,13.559584,5.737657,4.330426,-7.544814,-1.617759,6.134498
0.020000,15.523176,13.547637,5.821235,4.178936,-7.574492,-1.483876,6.144994
0.020000,15.603003,13.536947,5.901775,4.026971,-7.598283,-1.189539,6.155129
0.020000,15.679907,13.527426,5.979266,3.874580,-7.619532,-1.062482,6.164895
0.020000,15.753864,13.518988,6.053703,3.721818,-7.638087,-0.927749,6.174285
0.020000,15.824850,13.511551,6.125078,3.568751,-7.653380,-0.764654,6.183295
0.020000,15.892848,13.505032,6.193387,3.415474,-7.663833,-0.522655,6.191921
0.020000,15.957840,13.499354,6.258627,3.261982,-7.674591,-0.537865,6.200160
0.020000,16.019813,13.494441,6.320794,3.108371,-7.680559,-0.298393,6.208010
0.020000,16.078755,13.490223,6.379887,2.954629,-7.687093,-0.326704,6.215468
0.020000,16.134656,13.486630,6.435904,2.800835,-7.689723,-0.131524,6.222534
0.020000,16.187509,13.483597,6.488844,2.647001,-7.691674,-0.097561,6.229207
