dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.597080,10.446991,0.000644,0.064432,3.221594,161.079675,6.282092
0.020000,7.595932,10.446992,0.001792,0.057382,-0.352514,-178.705363,0.000144
0.020000,7.598193,10.446995,0.004053,0.113049,2.783375,156.794454,0.002617
0.020000,7.601590,10.447010,0.007450,0.169855,2.840273,2.844863,0.006322
0.020000,7.606130,10.447050,0.011990,0.227015,2.858045,0.888597,0.011253
0.020000,7.611824,10.447132,0.017685,0.284710,2.884731,1.334309,0.017400
0.020000,7.618685,10.447276,0.024547,0.343120,2.920475,1.787238,0.024752
0.020000,7.626731,10.447510,0.032597,0.402500,2.969027,2.427565,0.033291
0.020000,7.635987,10.447863,0.041860,0.463147,3.032330,3.165163,0.042996
0.020000,7.646483,10.448372,0.052368,0.525408,3.113056,4.036315,0.053840
0.020000,7.658256,10.449077,0.064162,0.589706,3.214900,5.092185,0.065787
0.020000,7.671353,10.450026,0.077293,0.656526,3.340986,6.304288,0.078795
0.020000,7.685827,10.451272,0.091821,0.726421,3.494777,7.689572,0.092811
0.020000,7.701747,10.452874,0.107821,0.800008,3.679329,9.227598,0.107772
0.020000,7.719189,10.454902,0.125380,0.877959,3.897542,10.910638,0.123604
0.020000,7.738242,10.457431,0.144600,0.960998,4.151973,12.721565,0.140218
0.020000,7.759007,10.460547,0.165598,1.049886,4.444418,14.622262,0.157516
0.020000,7.781598,10.464345,0.188506,1.145385,4.774917,16.524944,0.175384
0.020000,7.806139,10.468928,0.213471,1.248266,5.144069,18.457597,0.193696
0.020000,7.832765,10.474412,0.240656,1.359259,5.549662,20.279648,0.212314
0.020000,7.861621,10.480920,0.270237,1.479053,5.989695,22.001631,0.231086
0.020000,7.892860,10.488585,0.302402,1.608254,6.460015,23.515991,0.249853
0.020000,7.926639,10.497545,0.337350,1.747384,6.956539,24.826228,0.268444
0.020000,7.963123,10.507947,0.375287,1.896867,7.474111,25.878599,0.286683
0.020000,8.002477,10.519936,0.416428,2.057018,8.007556,26.672235,0.304387
0.020000,8.044873,10.533659,0.460989,2.228059,8.552067,27.225541,0.321370
0.020000,8.090481,10.549260,0.509192,2.410128,9.103442,27.568785,0.337444
0.020000,8.139477,10.566875,0.561258,2.603300,9.658624,27.759077,0.352418
0.020000,8.192040,10.586628,0.617410,2.807619,10.215950,27.866281,0.366103
0.020000,8.248358,10.608628,0.677873,3.023131,10.775568,27.980942,0.378306
0.020000,8.308628,10.632965,0.742871,3.249917,11.339308,28.186976,0.388836
0.020000,8.373062,10.659706,0.812634,3.488133,11.910789,28.574041,0.397496
0.020000,8.441892,10.688889,0.887394,3.738046,12.495650,29.243045,0.404087
0.020000,8.515375,10.720519,0.967396,4.000059,13.100653,30.250170,0.408403
0.020000,8.593800,10.754562,1.052890,4.274737,13.733911,31.662909,0.410225
0.020000,8.677493,10.790938,1.144147,4.562817,14.404018,33.505315,0.409326
0.020000,8.766824,10.829513,1.241451,4.865202,15.119220,35.760123,0.405461
0.020000,8.862212,10.870085,1.345109,5.182925,15.886175,38.347734,0.398368
0.020000,8.964129,10.912374,1.455451,5.517087,16.708094,41.095979,0.387764
0.020000,9.073095,10.955999,1.572826,5.868728,17.582067,43.698655,0.373353
0.020000,9.189677,11.000461,1.697598,6.238634,18.495293,45.661286,0.354820
0.020000,9.313642,11.044826,1.829263,6.583237,17.230154,-63.256961,0.332011
0.020000,9.442985,11.087529,1.965473,6.810487,11.362476,-293.383877,0.305246
0.020000,9.575329,11.127084,2.103601,6.906433,4.797288,-328.259429,0.275151
0.020000,9.709551,11.162632,2.242452,6.942514,1.804047,-149.662056,0.242236
0.020000,9.845143,11.193631,2.381542,6.954507,0.599696,-60.217537,0.206912
0.020000,9.981485,11.219631,2.520340,6.939911,-0.729804,-66.475002,0.169635
0.020000,10.117863,11.240297,2.658275,6.896751,-2.158013,-71.410456,0.130892
0.020000,10.218896,11.252937,2.760096,5.091050,-90.285056,-4406.352114,0.119439
0.020000,10.316679,11.264205,2.858526,4.921507,-8.477128,4090.396388,0.110062
0.020000,10.411345,11.274242,2.953723,4.759845,-8.083117,19.700564,0.101246
0.020000,10.502902,11.283159,3.045713,4.599489,-8.017824,3.264604,0.092968
0.020000,10.591359,11.291059,3.134522,4.440449,-7.951993,3.291586,0.085206
0.020000,10.676729,11.298036,3.220176,4.282726,-7.886147,3.292268,0.077938
0.020000,10.759026,11.304181,3.302703,4.126311,-7.820755,3.269617,0.071140
0.020000,10.838266,11.309573,3.382126,3.971187,-7.756183,3.228597,0.064791
0.020000,10.914467,11.314290,3.458473,3.817332,-7.692760,3.171140,0.058870
0.020000,10.987646,11.318399,3.531767,3.664717,-7.630748,3.100610,0.053354
0.020000,11.057822,11.321966,3.602033,3.513310,-7.570368,3.019008,0.048224
0.020000,11.125013,11.325047,3.669295,3.363074,-7.511798,2.928499,0.043460
0.020000,11.189237,11.327697,3.733574,3.213970,-7.455183,2.830747,0.039041
0.020000,11.250515,11.329964,3.794893,3.065957,-7.400640,2.727155,0.034949
0.020000,11.308863,11.331894,3.853273,2.918992,-7.348258,2.619073,0.031167
0.020000,11.364299,11.333525,3.908734,2.773030,-7.298116,2.507136,0.027678
0.020000,11.416842,11.334894,3.961294,2.628024,-7.250259,2.392846,0.024464
0.020000,11.466507,11.336036,4.010973,2.483930,-7.204739,2.275995,0.021511
0.020000,11.513312,11.336979,4.057787,2.340698,-7.161578,2.158047,0.018803
0.020000,11.557271,11.337751,4.101753,2.198282,-7.120807,2.038524,0.016327
0.020000,11.598399,11.338376,4.142885,2.056633,-7.082433,1.918702,0.014069
0.020000,11.636709,11.338876,4.181199,1.915704,-7.046476,1.797895,0.012018
0.020000,11.672216,11.339269,4.216708,1.775445,-7.012930,1.677278,0.010161
0.020000,11.704931,11.339574,4.249424,1.635809,-6.981810,1.556010,0.008489
0.020000,11.734865,11.339806,4.279359,1.496747,-6.953106,1.435200,0.006991
0.020000,11.762029,11.339978,4.306524,1.358210,-6.926824,1.314104,0.005658
0.020000,11.786431,11.340101,4.330927,1.220151,-6.902956,1.193386,0.004483
0.020000,11.808082,11.340187,4.352577,1.082521,-6.881509,1.072339,0.003457
0.020000,11.826987,11.340244,4.371482,0.945272,-6.862465,0.952208,0.002575
0.020000,11.843154,11.340280,4.387650,0.808355,-6.845834,0.831550,0.001830
