dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.595800,9.276992,0.000644,0.064432,3.221594,161.079675,6.282092
0.020000,7.596101,9.276992,0.003222,0.193296,6.443187,161.079675,0.000144
0.020000,7.601255,9.276999,0.008376,0.322159,6.443187,0.000000,0.002617
0.020000,7.608987,9.277034,0.016108,0.451023,6.443187,0.000000,0.006322
0.020000,7.619296,9.277124,0.026417,0.579887,6.443187,-0.000000,0.011253
0.020000,7.632181,9.277309,0.039303,0.708751,6.443187,0.000000,0.017400
0.020000,7.647641,9.277635,0.054767,0.837614,6.443187,-0.000000,0.024752
0.020000,7.665674,9.278158,0.072808,0.966478,6.443187,0.000000,0.033291
0.020000,7.686277,9.278945,0.093426,1.095342,6.443187,0.000000,0.042996
0.020000,7.709446,9.280068,0.116622,1.224206,6.443187,0.000000,0.053840
0.020000,7.735172,9.281608,0.142394,1.353069,6.443187,-0.000000,0.065787
0.020000,7.763448,9.283656,0.170744,1.481933,6.443187,0.000000,0.078795
0.020000,7.794261,9.286307,0.201672,1.610797,6.443187,-0.000000,0.092811
0.020000,7.827597,9.289663,0.235176,1.739660,6.443187,0.000000,0.107772
0.020000,7.863437,9.293828,0.271258,1.868524,6.443187,-0.000000,0.123604
0.020000,7.901760,9.298914,0.309917,1.997388,6.443187,0.000000,0.140218
0.020000,7.942539,9.305032,0.351154,2.126252,6.443187,0.000000,0.157516
0.020000,7.985746,9.312293,0.394967,2.255115,6.443187,-0.000000,0.175384
0.020000,8.031349,9.320808,0.441358,2.383979,6.443187,0.000000,0.193696
0.020000,8.079310,9.330683,0.490327,2.512843,6.443187,-0.000000,0.212314
0.020000,8.129592,9.342021,0.541872,2.641707,6.443187,0.000000,0.231086
0.020000,8.182156,9.354915,0.595995,2.770570,6.443187,0.000000,0.249853
0.020000,8.236960,9.369449,0.652695,2.899434,6.443187,-0.000000,0.268444
0.020000,8.293967,9.385698,0.711972,3.028298,6.443187,-0.000000,0.286683
0.020000,8.353137,9.403720,0.773827,3.157162,6.443187,0.000000,0.304387
0.020000,8.414437,9.423559,0.838259,3.286025,6.443187,-0.000000,0.321370
0.020000,8.477840,9.445244,0.905268,3.414889,6.443187,0.000000,0.337444
0.020000,8.543324,9.468782,0.974854,3.543753,6.443187,0.000000,0.352418
0.020000,8.610876,9.494164,1.047018,3.672617,6.443187,-0.000000,0.366103
0.020000,8.680494,9.521357,1.121759,3.801480,6.443187,0.000000,0.378306
0.020000,8.752188,9.550304,1.199077,3.930344,6.443187,0.000000,0.388836
0.020000,8.825982,9.580927,1.278973,4.059208,6.443187,0.000000,0.397496
0.020000,8.901913,9.613119,1.361445,4.188072,6.443187,-0.000000,0.404087
