dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.234094,10.991495,0.000782,0.078208,3.910405,195.520249,6.004878
0.020000,7.235915,10.990973,0.002676,0.094709,0.825038,-154.268340,6.003056
0.020000,7.245291,10.988257,0.012438,0.488091,19.669120,942.204093,5.999405
0.020000,7.259783,10.983987,0.027546,0.755372,13.364052,-315.253403,5.993903
0.020000,7.279116,10.978155,0.047739,1.009690,12.715868,-32.409179,5.986517
0.020000,7.303297,10.970640,0.073061,1.266098,12.820418,5.227480,5.977209
0.020000,7.332328,10.961289,0.103560,1.524960,12.943120,6.135109,5.965930
0.020000,7.366206,10.949916,0.139297,1.786843,13.094127,7.550324,5.952624
0.020000,7.404915,10.936299,0.180331,2.051682,13.241932,7.390242,5.937233
0.020000,7.448421,10.920185,0.226726,2.319726,13.402224,8.014644,5.919694
0.020000,7.496668,10.901286,0.278542,2.590815,13.554450,7.611288,5.899950
0.020000,7.549564,10.879281,0.335832,2.864530,13.685743,6.564663,5.877949
0.020000,7.606978,10.853823,0.398638,3.140272,13.787103,5.068004,5.853654
0.020000,7.668720,10.824543,0.466971,3.416634,13.818105,1.550053,5.827051
0.020000,7.734539,10.791062,0.540816,3.692255,13.781035,-1.853462,5.798156
0.020000,7.804105,10.753005,0.620111,3.964771,13.625799,-7.761813,5.767027
0.020000,7.877007,10.710016,0.704745,4.231676,13.345267,-14.026587,5.733773
0.020000,7.952747,10.661787,0.794537,4.489609,12.896631,-22.431811,5.698566
0.020000,8.030741,10.608072,0.889238,4.735047,12.271925,-31.235293,5.661646
0.020000,8.110333,10.548721,0.988523,4.964256,11.460413,-40.575589,5.623326
0.020000,8.190815,10.483693,1.091992,5.173468,10.460640,-49.988659,5.583990
0.020000,8.271455,10.413077,1.199181,5.359448,9.298987,-58.082657,5.544085
0.020000,8.351533,10.337089,1.309574,5.519664,8.010777,-64.410514,5.504106
0.020000,8.430380,10.256072,1.422626,5.652574,6.645508,-68.263429,5.464580
0.020000,8.507411,10.170474,1.537781,5.757773,5.259977,-69.276550,5.426039
0.020000,8.582152,10.080823,1.654501,5.835974,3.910025,-67.497596,5.389002
0.020000,8.654259,9.987700,1.772277,5.888826,2.642630,-63.369779,5.353958
0.020000,8.723522,9.891707,1.890650,5.918613,1.489344,-57.664291,5.321349
0.020000,8.789859,9.793445,2.009207,5.927881,0.463359,-51.299258,5.291572
0.020000,8.853303,9.693500,2.127589,5.919084,-0.439831,-45.159501,5.264972
0.020000,8.913986,9.592434,2.245474,5.894266,-1.240871,-40.051999,5.241858
0.020000,8.972117,9.490785,2.362570,5.854813,-1.972686,-36.590720,5.222512
0.020000,9.027959,9.389083,2.478595,5.801223,-2.679480,-35.339719,5.207205
0.020000,9.081817,9.287858,2.593256,5.733066,-3.407876,-36.419809,5.196217
0.020000,9.134013,9.187661,2.706233,5.648829,-4.211820,-40.197218,5.189858
0.020000,9.184873,9.089091,2.817151,5.545909,-5.146019,-46.709935,5.188486
0.020000,9.234708,8.992813,2.925562,5.420563,-6.267298,-56.063961,5.192532
0.020000,9.283789,8.899585,3.030921,5.267935,-7.631408,-68.205496,5.202522
0.020000,9.332322,8.810276,3.132565,5.082193,-9.287077,-82.783424,5.219090
0.020000,9.380411,8.725877,3.229703,4.856896,-11.264866,-98.889448,5.242998
0.020000,9.428020,8.647484,3.321420,4.585879,-13.550864,-114.299934,5.275125
0.020000,9.474931,8.576242,3.406720,4.264992,-16.044339,-124.673739,5.316428
0.020000,9.520729,8.513222,3.484624,3.895205,-18.489327,-122.249396,5.367848
0.020000,9.564860,8.459209,3.554373,3.487438,-20.388370,-94.952143,5.430115
0.020000,9.606812,8.414416,3.615744,3.068532,-20.945297,-27.846370,5.503444
0.020000,9.646491,8.378215,3.669456,2.685607,-19.146241,89.952840,5.587143
0.020000,9.684719,8.349080,3.717520,2.403230,-14.118851,251.369456,5.679278
0.020000,9.723596,8.324946,3.763279,2.287932,-5.764898,417.697660,5.776638
0.020000,9.766371,8.303939,3.810934,2.382768,4.741804,525.335104,5.875181
0.020000,9.876996,8.258401,3.930566,5.981557,179.939454,8759.882528,5.905215
0.020000,9.996490,8.212831,4.058454,6.394425,20.643389,-7964.803285,5.932642
0.020000,10.118275,8.170255,4.187467,6.450637,2.810584,-891.640244,5.961243
0.020000,10.240656,8.131412,4.315864,6.419862,-1.538757,-217.467018,5.990600
0.020000,10.361915,8.096828,4.441958,6.304705,-5.757832,-210.953789,6.020245
0.020000,10.481265,8.066586,4.565079,6.156069,-7.431810,-83.698858,6.049905
0.020000,10.598524,8.040543,4.685196,6.005820,-7.512426,-4.030823,6.079446
0.020000,10.713649,8.018508,4.802411,5.860777,-7.252167,13.012949,6.108769
0.020000,10.826604,8.000286,4.916827,5.720768,-7.000422,12.587260,6.137777
0.020000,10.937356,7.985679,5.028537,5.585535,-6.761689,11.936631,6.166377
0.020000,11.045875,7.974488,5.137632,5.454737,-6.539863,11.091293,6.194485
0.020000,11.152136,7.966510,5.244192,5.327975,-6.338134,10.086484,6.222023
0.020000,11.256113,7.961546,5.348288,5.204799,-6.158791,8.967124,6.248921
0.020000,11.357785,7.959395,5.449982,5.084735,-6.003214,7.778837,6.275121
0.020000,11.457130,7.959859,5.549328,4.967292,-5.872124,6.554507,0.017387
0.020000,11.554127,7.962744,5.646368,4.851983,-5.765446,5.333927,0.042047
0.020000,11.626648,7.966525,5.718987,3.630974,-61.050442,-2764.249833,0.084996
0.020000,11.649869,7.969636,5.742416,1.171446,-122.976401,-3096.297917,0.174415
0.020000,11.681718,7.976633,5.775024,1.630401,22.947711,7296.205571,0.251999
0.020000,11.722910,7.988778,5.817969,2.147255,25.842704,144.749655,0.316637
0.020000,11.772916,8.006715,5.871096,2.656311,25.452840,-19.493206,0.368478
0.020000,11.830639,8.030432,5.933501,3.120261,23.197478,-112.768069,0.408392
0.020000,11.894883,8.059435,6.003988,3.524358,20.204866,-149.630614,0.437527
0.020000,11.964594,8.092953,6.081339,3.867527,17.158434,-152.321601,0.457056
0.020000,12.038939,8.130091,6.164443,4.155246,14.385940,-138.624722,0.468046
0.020000,12.117296,8.169928,6.252346,4.395117,11.993580,-119.617971,0.471414
0.020000,12.199214,8.211561,6.344236,4.594512,9.969742,-101.191901,0.467940
0.020000,12.284357,8.254125,6.439425,4.759470,8.247893,-86.092464,0.458285
0.020000,12.372452,8.296796,6.537311,4.894273,6.740127,-75.388313,0.443030
0.020000,12.463238,8.338789,6.637339,5.001384,5.355566,-69.228027,0.422706
0.020000,12.556422,8.379355,6.738970,5.081548,4.008223,-67.367135,0.397831
0.020000,12.651638,8.417793,6.841651,5.134068,2.625994,-69.111446,0.368938
0.020000,12.748420,8.453453,6.944794,5.157155,1.154361,-73.581651,0.336591
0.020000,12.846187,8.485767,7.047763,5.148450,-0.435292,-79.482649,0.301404
0.020000,12.944239,8.514272,7.149874,5.105571,-2.143938,-85.432304,0.264032
0.020000,13.041778,8.538633,7.250409,5.026726,-3.942240,-89.915121,0.225168
0.020000,13.137936,8.558674,7.348633,4.911217,-5.775444,-91.660206,0.185517
0.020000,13.231827,8.574379,7.443829,4.759776,-7.572086,-89.832064,0.145771
0.020000,13.322591,8.585899,7.535321,4.574629,-9.257336,-84.262523,0.106578
0.020000,13.409444,8.593527,7.622509,4.359372,-10.762839,-75.275132,0.068517
0.020000,13.491710,8.597671,7.704879,4.118521,-12.042530,-63.984556,0.032080
0.020000,13.568844,8.598820,7.782021,3.857081,-13.072003,-51.473683,6.280849
0.020000,13.640433,8.597504,7.853622,3.580077,-13.850224,-38.911053,6.248752
0.020000,13.706196,8.594265,7.919466,3.292160,-14.395867,-27.282123,6.219185
0.020000,13.765963,8.589626,7.979412,2.997334,-14.741262,-17.269760,6.192280
0.020000,13.819654,8.584077,8.033389,2.698834,-14.925027,-9.188261,6.168108
0.020000,13.867258,8.578057,8.081372,2.399171,-14.983149,-2.906059,6.146691
0.020000,13.908813,8.571953,8.123373,2.100025,-14.957288,1.293050,6.128020
0.020000,13.944386,8.566097,8.159425,1.802589,-14.871817,4.273545,6.112060
0.020000,13.974059,8.560766,8.189573,1.507394,-14.759757,5.602991,6.098769
0.020000,13.997916,8.556184,8.213866,1.214671,-14.636116,6.182030,6.088100
0.020000,14.016036,8.552527,8.232351,0.924236,-14.521770,5.717316,6.080008
0.020000,14.028482,8.549927,8.245066,0.635779,-14.422851,4.945925,6.074456
0.020000,14.035304,8.548471,8.252041,0.348737,-14.352082,3.538485,6.071415
0.020000,14.037619,8.547972,8.254410,0.118429,-11.515391,141.834523,6.070383
0.020000,14.037925,8.547906,8.254722,0.015643,-5.139341,318.802501,6.070247
0.020000,14.037925,8.547906,8.254722,0.000000,-0.782126,217.860785,6.070247
