dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.948376,9.991513,0.000782,0.078208,3.910405,195.520249,6.004878
0.020000,6.948376,9.991513,0.003910,0.234624,7.820810,195.520249,6.003056
0.020000,6.954105,9.989853,0.010167,0.391040,7.820810,0.000000,5.999405
0.020000,6.963107,9.987200,0.019552,0.547457,7.820810,0.000000,5.993903
0.020000,6.975087,9.983587,0.032065,0.703873,7.820810,-0.000000,5.986517
0.020000,6.990024,9.978945,0.047707,0.860289,7.820810,0.000000,5.977209
0.020000,7.007889,9.973190,0.066477,1.016705,7.820810,0.000000,5.965930
0.020000,7.028649,9.966221,0.088375,1.173121,7.820810,0.000000,5.952624
0.020000,7.052258,9.957916,0.113402,1.329538,7.820810,-0.000000,5.937233
0.020000,7.078660,9.948138,0.141557,1.485954,7.820810,0.000000,5.919694
0.020000,7.107787,9.936728,0.172840,1.642370,7.820810,-0.000000,5.899950
0.020000,7.139558,9.923512,0.207251,1.798786,7.820810,0.000000,5.877949
0.020000,7.173875,9.908295,0.244791,1.955202,7.820810,-0.000000,5.853654
0.020000,7.210620,9.890870,0.285460,2.111619,7.820810,0.000000,5.827051
0.020000,7.249655,9.871014,0.329256,2.268035,7.820810,-0.000000,5.798156
0.020000,7.290820,9.848494,0.376181,2.424451,7.820810,0.000000,5.767027
0.020000,7.333934,9.823071,0.426234,2.580867,7.820810,0.000000,5.733773
0.020000,7.378790,9.794507,0.479416,2.737283,7.820810,-0.000000,5.698566
0.020000,7.425162,9.762570,0.535725,2.893700,7.820810,0.000000,5.661646
0.020000,7.472808,9.727039,0.595164,3.050116,7.820810,0.000000,5.623326
0.020000,7.521469,9.687719,0.657730,3.206532,7.820810,0.000000,5.583990
0.020000,7.570887,9.644439,0.723425,3.362948,7.820810,-0.000000,5.544085
0.020000,7.620804,9.597065,0.792248,3.519364,7.820810,0.000000,5.504106
0.020000,7.670979,9.545502,0.864200,3.675781,7.820810,0.000000,5.464580
0.020000,7.721194,9.489692,0.939279,3.832197,7.820810,0.000000,5.426039
0.020000,7.771266,9.429621,1.017487,3.988613,7.820810,-0.000000,5.389002
0.020000,7.821055,9.365309,1.098824,4.145029,7.820810,0.000000,5.353958
0.020000,7.870469,9.296811,1.183289,4.301445,7.820810,-0.000000,5.321349
0.020000,7.919472,9.224212,1.270882,4.457862,7.820810,0.000000,5.291572
0.020000,7.968085,9.147617,1.361603,4.614278,7.820810,0.000000,5.264972
0.020000,8.016388,9.067155,1.455453,4.770694,7.820810,-0.000000,5.241858
0.020000,8.064525,8.982969,1.552431,4.927110,7.820810,0.000000,5.222512
0.020000,8.112701,8.895219,1.652537,5.083526,7.820810,-0.000000,5.207205
0.020000,8.161187,8.804079,1.755772,5.239943,7.820810,0.000000,5.196217
0.020000,8.210325,8.709748,1.862135,5.396359,7.820810,0.000000,5.189858
0.020000,8.260531,8.612445,1.971626,5.552775,7.820810,-0.000000,5.188486
0.020000,8.312302,8.512431,2.084246,5.709191,7.820810,0.000000,5.192532
0.020000,8.366228,8.410012,2.199994,5.865607,7.820810,0.000000,5.202522
0.020000,8.422998,8.305569,2.318870,6.022024,7.820810,-0.000000,5.219090
0.020000,8.483413,8.199576,2.440875,6.178440,7.820810,0.000000,5.242998
0.020000,8.548390,8.092642,2.566008,6.334856,7.820810,-0.000000,5.275125
0.020000,8.618961,7.985552,2.694269,6.491272,7.820810,0.000000,5.316428
0.020000,8.696250,7.879317,2.825659,6.647688,7.820810,0.000000,5.367848
0.020000,8.781425,7.775228,2.960177,6.804105,7.820810,-0.000000,5.430115
0.020000,8.875593,7.674877,3.097823,6.960521,7.820810,0.000000,5.503444
0.020000,8.979658,7.580134,3.238597,7.116937,7.820810,0.000000,5.587143
0.020000,9.094142,7.493031,3.382500,7.273353,7.820810,-0.000000,5.679278
0.020000,9.219029,7.415544,3.529532,7.429769,7.820810,0.000000,5.776638
0.020000,9.353722,7.349308,3.679691,7.586186,7.820810,-0.000000,5.875181
0.020000,9.493200,7.291809,3.832979,7.742602,7.820810,0.000000,5.905215
0.020000,9.639346,7.236077,3.989395,7.899018,7.820810,0.000000,5.932642
0.020000,9.789209,7.183687,4.148158,7.977226,3.910405,-195.520249,5.961243
0.020000,9.940691,7.135610,4.307091,7.916124,-3.055094,-348.274956,5.990600
0.020000,10.091597,7.092573,4.464021,7.776814,-6.965499,-195.520249,6.020245
0.020000,10.240848,7.054757,4.617993,7.620398,-7.820810,-42.765543,6.049905
0.020000,10.388098,7.022053,4.768836,7.463982,-7.820810,0.000000,6.079446
0.020000,10.533175,6.994286,4.916552,7.307566,-7.820810,-0.000000,6.108769
0.020000,10.675912,6.971261,5.061139,7.151150,-7.820810,0.000000,6.137777
0.020000,10.816151,6.952766,5.202598,6.994733,-7.820810,-0.000000,6.166377
0.020000,10.953748,6.938577,5.340928,6.838317,-7.820810,0.000000,6.194485
0.020000,11.088566,6.928455,5.476131,6.681901,-7.820810,0.000000,6.222023
0.020000,11.220486,6.922156,5.608204,6.525485,-7.820810,-0.000000,6.248921
0.020000,11.349399,6.919429,5.737150,6.369069,-7.820810,0.000000,6.275121
0.020000,11.475211,6.920017,5.862967,6.212652,-7.820810,0.000000,0.017387
0.020000,11.597843,6.923664,5.985656,6.056236,-7.820810,-0.000000,0.042047
0.020000,11.714937,6.930280,6.105217,5.899820,-7.820810,0.000000,0.084996
0.020000,11.830343,6.945415,6.221649,5.743404,-7.820810,-0.000000,0.174415
0.020000,11.941032,6.969481,6.334953,5.586988,-7.820810,0.000000,0.251999
0.020000,12.046737,7.000479,6.445128,5.430571,-7.820810,0.000000,0.316637
0.020000,12.147521,7.036523,6.552176,5.274155,-7.820810,-0.000000,0.368478
0.020000,12.243658,7.075960,6.656095,5.117739,-7.820810,0.000000,0.408392
0.020000,12.335532,7.117401,6.756885,4.961323,-7.820810,0.000000,0.437527
0.020000,12.423555,7.159703,6.854547,4.804907,-7.820810,-0.000000,0.457056
0.020000,12.508128,7.201941,6.949081,4.648490,-7.820810,0.000000,0.468046
0.020000,12.589609,7.243364,7.040487,4.492074,-7.820810,-0.000000,0.471414
0.020000,12.668305,7.283361,7.128764,4.335658,-7.820810,0.000000,0.467940
0.020000,12.744465,7.321440,7.213913,4.179242,-7.820810,0.000000,0.458285
0.020000,12.818278,7.357201,7.295934,4.022826,-7.820810,-0.000000,0.443030
0.020000,12.889877,7.390327,7.374826,3.866409,-7.820810,0.000000,0.422706
0.020000,12.959339,7.420576,7.450590,3.709993,-7.820810,0.000000,0.397831
0.020000,13.026688,7.447773,7.523226,3.553577,-7.820810,-0.000000,0.368938
0.020000,13.091903,7.471812,7.592734,3.397161,-7.820810,0.000000,0.336591
0.020000,13.154922,7.492650,7.659113,3.240745,-7.820810,-0.000000,0.301404
0.020000,13.215653,7.510312,7.722363,3.084328,-7.820810,0.000000,0.264032
0.020000,13.273978,7.524887,7.782486,2.927912,-7.820810,-0.000000,0.225168
0.020000,13.329769,7.536519,7.839480,2.771496,-7.820810,0.000000,0.185517
0.020000,13.382892,7.545410,7.893346,2.615080,-7.820810,0.000000,0.145771
0.020000,13.433222,7.551800,7.944083,2.458664,-7.820810,0.000000,0.106578
0.020000,13.480646,7.555967,7.991692,2.302247,-7.820810,-0.000000,0.068517
0.020000,13.525068,7.558206,8.036173,2.145831,-7.820810,0.000000,0.032080
0.020000,13.566414,7.558823,8.077525,1.989415,-7.820810,0.000000,6.280849
0.020000,13.604630,7.558120,8.115749,1.832999,-7.820810,-0.000000,6.248752
0.020000,13.639682,7.556394,8.150845,1.676583,-7.820810,0.000000,6.219185
0.020000,13.671552,7.553920,8.182813,1.520166,-7.820810,-0.000000,6.192280
0.020000,13.700238,7.550955,8.211652,1.363750,-7.820810,0.000000,6.168108
0.020000,13.725745,7.547729,8.237363,1.207334,-7.820810,-0.000000,6.146691
0.020000,13.748087,7.544448,8.259945,1.050918,-7.820810,0.000000,6.128020
0.020000,13.767283,7.541288,8.279399,0.894502,-7.820810,-0.000000,6.112060
0.020000,13.783351,7.538401,8.295725,0.738085,-7.820810,0.000000,6.098769
0.020000,13.796312,7.535911,8.308923,0.581669,-7.820810,0.000000,6.088100
0.020000,13.806182,7.533919,8.318992,0.425253,-7.820810,0.000000,6.080008
0.020000,13.812977,7.532500,8.325933,0.268837,-7.820810,0.000000,6.074456
0.020000,13.816705,7.531704,8.329746,0.112421,-7.820810,-0.000000,6.071415
