dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.594521,8.106993,0.000644,0.064432,3.221594,161.079675,6.282092
0.020000,7.596270,8.106992,0.002393,0.087429,1.149875,-103.585936,0.000144
0.020000,7.604318,8.107003,0.010441,0.402407,15.748877,729.950132,0.002617
0.020000,7.616384,8.107057,0.022508,0.603335,10.046415,-285.123139,0.006322
0.020000,7.632461,8.107198,0.038585,0.803881,10.027311,-0.955196,0.011253
0.020000,7.652538,8.107486,0.058664,1.003936,10.002731,-1.228972,0.017400
0.020000,7.676597,8.107993,0.082729,1.203236,9.964982,-1.887468,0.024752
0.020000,7.704617,8.108807,0.110760,1.401580,9.917219,-2.388169,0.033291
0.020000,7.736567,8.110026,0.142734,1.598670,9.854484,-3.136737,0.042996
0.020000,7.772408,8.111763,0.178616,1.794129,9.772941,-4.077119,0.053840
0.020000,7.812088,8.114139,0.218367,1.987552,9.671157,-5.089232,0.065787
0.020000,7.855543,8.117287,0.261936,2.178452,9.545036,-6.306023,0.078795
0.020000,7.902694,8.121343,0.309262,2.366283,9.391552,-7.674226,0.092811
0.020000,7.953446,8.126451,0.360271,2.550422,9.206919,-9.231663,0.107772
0.020000,8.007685,8.132754,0.414874,2.730187,8.988262,-10.932808,0.123604
0.020000,8.065278,8.140397,0.472972,2.904863,8.733780,-12.724123,0.140218
0.020000,8.126071,8.149516,0.534446,3.073706,8.442190,-14.579508,0.157516
0.020000,8.189895,8.160241,0.599164,3.235920,8.110678,-16.575583,0.175384
0.020000,8.256558,8.172687,0.666979,3.390765,7.742242,-18.421797,0.193696
0.020000,8.325855,8.186954,0.737729,3.537488,7.336170,-20.303627,0.212314
0.020000,8.397563,8.203121,0.811238,3.675422,6.896678,-21.974578,0.231086
0.020000,8.471452,8.221245,0.887316,3.803943,6.426044,-23.531723,0.249853
0.020000,8.547282,8.241353,0.965767,3.922537,5.929721,-24.816142,0.268444
0.020000,8.624810,8.263449,1.046383,4.030783,5.412294,-25.871356,0.286683
0.020000,8.703796,8.287504,1.128950,4.128360,4.878871,-26.671114,0.304387
0.020000,8.784002,8.313459,1.213251,4.215050,4.334479,-27.219638,0.321370
0.020000,8.865199,8.341227,1.299065,4.290714,3.783211,-27.563365,0.337444
0.020000,8.947171,8.370690,1.386171,4.355277,3.228137,-27.753720,0.352418
0.020000,9.029711,8.401701,1.474345,4.408693,2.670812,-27.866250,0.366103
0.020000,9.112630,8.434085,1.563363,4.450919,2.111314,-27.974881,0.378306
0.020000,9.195749,8.467643,1.653001,4.481873,1.547669,-28.182238,0.388836
0.020000,9.278902,8.502148,1.743028,4.501394,0.976048,-28.581093,0.397496
0.020000,9.361933,8.537349,1.833213,4.509219,0.391269,-29.238944,0.404087
0.020000,9.444692,8.572969,1.923312,4.504942,-0.213849,-30.255904,0.408403
0.020000,9.527029,8.608709,2.013072,4.487997,-0.847279,-31.671464,0.410225
0.020000,9.608793,8.644247,2.102225,4.457645,-1.517605,-33.516316,0.409326
0.020000,9.689820,8.679239,2.190484,4.412982,-2.233114,-35.775440,0.405461
0.020000,9.769932,8.713318,2.277544,4.352972,-3.000502,-38.369392,0.398368
0.020000,9.848929,8.746103,2.363074,4.276512,-3.823017,-41.125757,0.387764
0.020000,9.926584,8.777202,2.446725,4.182556,-4.697774,-43.737886,0.373353
0.020000,10.002643,8.806222,2.528131,4.070317,-5.611991,-45.710820,0.354820
0.020000,10.076354,8.832617,2.606426,3.914735,-7.779069,-108.353922,0.332011
0.020000,10.146220,8.855700,2.680006,3.679009,-11.786323,-200.362677,0.305246
0.020000,10.211089,8.875105,2.747716,3.385497,-14.675563,-144.462035,0.275151
0.020000,10.270857,8.890951,2.809549,3.091623,-14.693702,-0.906942,0.242236
0.020000,10.325871,8.903544,2.865986,2.821846,-13.488871,60.241549,0.206912
0.020000,10.376529,8.913218,2.917559,2.578672,-12.158717,66.507740,0.169635
0.020000,10.423275,8.920313,2.964841,2.364079,-10.729644,71.453641,0.130892
0.020000,10.497719,8.929608,3.039863,3.751120,69.352072,4004.085767,0.119439
0.020000,10.573705,8.938363,3.116351,3.824415,3.664738,-3284.366667,0.110062
0.020000,10.647856,8.946225,3.190918,3.728354,-4.803026,-423.388209,0.101246
0.020000,10.720134,8.953264,3.263538,3.630987,-4.868351,-3.266251,0.092968
0.020000,10.790500,8.959548,3.334184,3.532303,-4.934210,-3.292966,0.085206
0.020000,10.858918,8.965140,3.402830,3.432302,-5.000070,-3.292980,0.077938
0.020000,10.925353,8.970099,3.469450,3.330992,-5.065490,-3.270988,0.071140
0.020000,10.989772,8.974483,3.534018,3.228391,-5.130076,-3.229331,0.064791
0.020000,11.052143,8.978343,3.596508,3.124520,-5.193517,-3.172032,0.058870
0.020000,11.112436,8.981729,3.656896,3.019409,-5.255542,-3.101263,0.053354
0.020000,11.170623,8.984686,3.715158,2.913091,-5.315935,-3.019637,0.048224
0.020000,11.226676,8.987257,3.771270,2.805600,-5.374516,-2.929032,0.043460
0.020000,11.280570,8.989480,3.825210,2.696978,-5.431139,-2.831192,0.039041
0.020000,11.332280,8.991393,3.876955,2.587264,-5.485691,-2.727587,0.034949
0.020000,11.381783,8.993030,3.926485,2.476502,-5.538077,-2.619304,0.031167
0.020000,11.429057,8.994421,3.973780,2.364738,-5.588230,-2.507654,0.027678
0.020000,11.474082,8.995595,4.018820,2.252016,-5.636088,-2.392885,0.024464
0.020000,11.516838,8.996577,4.061588,2.138384,-5.681616,-2.276420,0.021511
0.020000,11.557308,8.997393,4.102066,2.023888,-5.724777,-2.158017,0.018803
0.020000,11.595474,8.998063,4.140237,1.908577,-5.765555,-2.038897,0.016327
0.020000,11.631319,8.998608,4.176087,1.792498,-5.803927,-1.918600,0.014069
0.020000,11.664831,8.999045,4.209601,1.675701,-5.839891,-1.798222,0.012018
0.020000,11.695993,8.999390,4.240766,1.558232,-5.873434,-1.677129,0.010161
0.020000,11.724795,8.999659,4.269569,1.440141,-5.904561,-1.556344,0.008489
0.020000,11.751224,8.999863,4.295998,1.321475,-5.933263,-1.435110,0.006991
0.020000,11.775269,9.000015,4.320044,1.202284,-5.959547,-1.314233,0.005658
0.020000,11.796921,9.000125,4.341696,1.082616,-5.983412,-1.193230,0.004483
0.020000,11.816171,9.000201,4.360946,0.962519,-6.004868,-1.072788,0.003457
0.020000,11.833012,9.000252,4.377787,0.842041,-6.023904,-0.951835,0.002575
0.020000,11.847436,9.000284,4.392212,0.721230,-6.040538,-0.831659,0.001830
0.020000,11.859439,9.000302,4.404215,0.600135,-6.054766,-0.711402,0.001218
0.020000,11.869015,9.000311,4.413791,0.478803,-6.066593,-0.591382,0.000735
0.020000,11.876161,9.000315,4.420936,0.357283,-6.076014,-0.471034,0.000378
0.020000,11.880873,9.000317,4.425649,0.235622,-6.083048,-0.351701,0.000143
0.020000,11.883190,9.000317,4.427966,0.115851,-5.988550,4.724907,0.000028
0.020000,11.883760,9.000317,4.428535,0.028469,-4.369066,80.974203,0.000000
0.020000,11.883760,9.000317,4.428535,0.000000,-1.423464,147.280069,0.000000
